Ativo,Retorno_Acumulado_%,Volatilidade_Anual_%,Sharpe_Ratio,Max_Drawdown_%,Tipo
ABEV3.SA,35.78,24.51,-0.22,-34.88,Carteira
B3SA3.SA,-7.33,36.45,-0.25,-49.92,Carteira
BBAS3.SA,55.0,27.64,-0.06,-37.19,Carteira
BBDC4.SA,15.95,29.94,-0.23,-46.04,Carteira
ITSA4.SA,114.1,22.9,0.17,-25.63,Carteira
ITUB4.SA,97.8,25.66,0.12,-35.87,Carteira
PETR4.SA,407.65,33.74,0.86,-39.1,Carteira
SBSP3.SA,278.57,29.46,0.66,-26.67,Carteira
VALE3.SA,48.89,30.05,-0.06,-41.34,Carteira
WEGE3.SA,28.12,31.05,-0.14,-49.51,Carteira
^BVSP,42.56,17.95,-0.32,-26.5,Benchmark
